employee_id,age,gender,education_level,department,job_role,tenure_months,last_performance_rating,promotions_last_3yrs,training_hours_completed,certifications_count,salary_band,compensation_percentile,bonus_received,hike_percent_last_year,avg_monthly_hours,work_life_balance_score,engagement_score,job_satisfaction,absenteeism_days,manager_tenure,manager_change_count,team_size,peer_feedback_score,current_project_risk_score,project_complexity_level,client_importance_score,attrition,best_fit_role,project_risk_flag
1,50,Male,Master,Technology,Consultant,91,2,0,92,3,Low,4,0,7,158,1,19,2,28,107,3,15,3,67,High,31,1,Senior Consultant,0
2,36,Male,Bachelor,Technology,Manager,194,3,0,41,9,Mid,55,0,2,246,2,53,2,12,52,1,15,4,14,Low,100,0,Senior Manager,0
3,29,Male,Bachelor,Audit,Partner,195,1,0,139,4,Mid,52,0,18,158,2,32,3,1,215,1,17,4,57,Medium,30,1,Partner,0
4,42,Male,Master,Technology,Manager,29,4,1,1,2,High,98,0,22,111,4,9,4,13,32,0,8,4,7,High,83,0,Senior Manager,0
5,40,Other,Bachelor,Tax,Consultant,128,4,0,39,6,Mid,30,0,4,201,2,10,4,22,51,0,10,1,58,Medium,52,0,Senior Consultant,0
6,44,Male,Bachelor,Technology,Senior Consultant,229,5,1,101,1,Low,59,0,10,238,2,34,2,17,87,2,19,5,38,Low,88,0,Manager,0
7,32,Male,Bachelor,Technology,Partner,27,2,0,62,6,High,64,1,5,143,1,59,1,18,76,0,2,3,78,Medium,97,0,Partner,0
8,32,Male,PhD,Consulting,Manager,68,5,0,160,4,Low,38,0,23,105,5,34,4,0,205,2,16,3,96,High,81,0,Senior Manager,1
9,45,Female,MBA,Consulting,Consultant,163,5,0,108,8,Low,30,0,11,193,2,26,1,2,151,4,5,1,75,High,18,0,Senior Consultant,1
10,57,Male,Bachelor,Consulting,Senior Consultant,91,2,0,173,1,Mid,95,0,21,91,2,13,3,18,49,0,11,2,52,High,27,1,Manager,0
11,45,Female,MBA,Risk Advisory,Consultant,211,1,0,9,8,Mid,43,0,10,86,3,66,2,15,204,4,18,5,58,Medium,90,0,Senior Consultant,0
12,24,Other,MBA,Consulting,Manager,10,4,0,138,8,Mid,96,1,0,141,1,56,5,2,47,0,10,4,69,Medium,17,0,Senior Manager,0
13,43,Male,Bachelor,Risk Advisory,Manager,127,3,1,15,7,Low,56,0,8,185,2,20,1,0,203,0,10,1,85,Medium,72,0,Senior Manager,0
14,23,Female,Bachelor,Risk Advisory,Partner,26,2,0,7,4,Mid,98,1,23,92,2,55,1,8,179,2,5,1,59,Low,2,0,Partner,0
15,45,Male,Master,Tax,Senior Consultant,71,5,1,46,2,Mid,82,1,23,95,4,40,1,6,57,4,13,2,83,Low,28,0,Manager,0
16,51,Female,Master,Consulting,Analyst,91,3,0,116,9,Mid,6,0,23,222,3,81,2,4,211,0,15,4,60,Low,79,0,Consultant,0
17,59,Male,MBA,Technology,Consultant,94,2,1,173,0,High,3,0,25,82,5,94,2,17,21,3,16,1,27,Low,52,1,Senior Consultant,0
18,23,Male,Master,Audit,Senior Consultant,76,2,0,3,9,Mid,40,1,28,115,1,88,5,27,124,3,5,5,96,High,94,0,Manager,1
19,42,Male,Bachelor,Technology,Analyst,104,1,0,171,2,Mid,78,0,22,139,5,26,5,11,151,0,6,3,38,Medium,44,1,Consultant,0
20,54,Female,PhD,Consulting,Senior Consultant,189,1,1,91,5,Mid,38,1,25,100,2,1,3,24,128,0,16,1,85,Medium,38,1,Manager,0
21,33,Male,Bachelor,Technology,Consultant,197,4,0,16,3,Mid,17,0,0,162,4,41,5,28,117,0,10,1,14,Medium,13,1,Senior Consultant,0
22,43,Male,MBA,Consulting,Consultant,184,4,0,81,5,Mid,51,0,6,155,3,90,4,25,236,4,10,4,53,Medium,85,0,Senior Consultant,0
23,46,Female,Bachelor,Consulting,Partner,77,3,0,4,3,Low,27,1,2,233,1,52,4,7,176,2,7,1,72,High,74,0,Partner,1
24,48,Female,Bachelor,Technology,Manager,192,4,0,71,8,Low,37,0,11,145,3,19,1,17,207,4,12,2,34,Medium,81,0,Senior Manager,0
25,49,Female,Master,Risk Advisory,Manager,41,2,0,125,7,Mid,26,0,19,135,3,74,2,9,68,3,15,3,97,Medium,12,0,Senior Manager,0
26,37,Male,Bachelor,Tax,Manager,132,2,0,180,9,Low,78,0,5,236,3,48,5,23,86,2,14,2,58,Low,91,1,Senior Manager,0
27,36,Female,Master,Tax,Partner,66,2,0,4,5,Low,60,0,20,171,5,43,4,29,60,0,15,2,45,Low,89,1,Partner,0
28,24,Female,Bachelor,Tax,Manager,165,2,0,34,9,Low,100,0,2,241,3,75,2,1,79,2,7,3,74,Low,70,0,Senior Manager,0
29,58,Male,Master,Tax,Senior Consultant,34,1,0,22,7,Low,88,0,5,137,2,23,5,23,29,2,16,3,93,Medium,41,1,Manager,0
30,28,Female,Master,Audit,Manager,122,2,0,149,6,High,21,1,21,205,2,13,3,14,30,3,12,2,20,Low,84,1,Senior Manager,0
31,42,Male,Bachelor,Consulting,Manager,50,2,0,111,4,Low,65,0,9,118,2,74,4,18,208,1,11,3,10,Low,29,0,Senior Manager,0
32,30,Other,MBA,Audit,Consultant,198,2,1,116,8,Low,62,1,9,210,4,83,5,10,126,0,17,5,13,Medium,67,0,Senior Consultant,0
33,39,Male,Bachelor,Tax,Partner,90,5,0,186,3,Mid,42,0,2,249,4,99,2,1,199,4,8,4,13,Medium,80,0,Partner,0
34,25,Female,Bachelor,Tax,Partner,203,3,0,65,3,Mid,96,0,24,243,3,95,1,4,11,4,2,4,100,Low,98,0,Partner,0
35,46,Male,Master,Technology,Manager,42,3,0,163,9,High,63,0,1,114,1,50,5,25,172,2,17,5,17,Low,1,0,Senior Manager,0
36,35,Other,Master,Tax,Analyst,129,2,1,66,8,Mid,75,1,7,151,4,26,5,13,144,3,3,3,27,Low,73,1,Consultant,0
37,30,Male,Master,Consulting,Consultant,34,2,0,27,3,Low,58,0,14,167,5,43,3,8,147,4,18,5,58,Medium,19,1,Senior Consultant,0
38,47,Other,Bachelor,Tax,Manager,213,3,0,150,3,Low,81,0,2,109,2,86,4,28,231,3,14,4,30,Medium,39,0,Senior Manager,0
39,23,Other,MBA,Tax,Analyst,138,4,1,140,7,High,62,0,15,159,3,21,2,18,39,2,8,4,54,High,79,0,Consultant,0
40,41,Male,Master,Audit,Senior Consultant,5,5,1,68,5,Low,67,0,19,229,5,85,1,17,120,0,2,1,39,Low,28,0,Manager,0
41,49,Female,Bachelor,Consulting,Consultant,90,5,0,29,6,Mid,29,0,4,151,5,44,3,10,106,2,3,2,75,High,11,1,Senior Consultant,1
42,28,Other,Bachelor,Risk Advisory,Partner,172,4,0,183,3,Mid,19,0,28,248,1,74,4,6,109,3,19,1,34,Medium,100,0,Partner,0
43,29,Male,MBA,Technology,Analyst,147,2,1,59,0,Mid,97,0,20,116,2,46,5,21,84,3,15,3,36,High,13,1,Consultant,0
44,56,Male,Master,Risk Advisory,Manager,149,3,0,86,3,High,5,1,0,158,2,11,3,17,163,3,6,4,8,Medium,48,1,Senior Manager,0
45,35,Female,Bachelor,Audit,Analyst,121,5,0,96,3,Mid,66,0,12,88,4,99,3,11,190,3,3,3,12,Medium,77,0,Consultant,0
46,38,Male,Bachelor,Tax,Partner,162,4,1,148,1,Mid,9,0,19,245,4,99,1,13,52,4,9,4,100,Medium,41,0,Partner,0
47,57,Male,Bachelor,Technology,Senior Consultant,29,4,1,111,7,High,41,1,1,236,5,3,1,28,80,1,5,4,85,Medium,64,0,Manager,0
48,25,Male,Master,Consulting,Analyst,102,1,0,76,4,Low,25,0,28,119,5,76,5,19,25,2,6,4,97,Low,55,1,Consultant,0
49,23,Male,MBA,Technology,Manager,207,4,0,41,8,Mid,84,1,7,221,5,20,1,13,158,1,3,1,59,Low,56,0,Senior Manager,0
50,27,Male,Master,Audit,Analyst,40,1,0,104,4,High,75,0,29,171,2,82,2,16,33,2,19,2,40,Medium,54,0,Consultant,0
51,25,Male,Master,Tax,Senior Consultant,208,1,0,47,3,Mid,12,1,5,157,5,43,3,5,18,0,13,4,92,Medium,38,1,Manager,0
52,50,Female,PhD,Audit,Analyst,115,5,0,104,2,Mid,65,1,23,196,2,85,2,16,189,2,9,2,56,Low,24,0,Consultant,0
53,39,Female,Master,Consulting,Senior Consultant,18,2,0,149,9,High,88,1,18,147,4,36,1,24,54,3,10,5,51,Low,40,1,Manager,0
54,47,Male,Master,Risk Advisory,Senior Consultant,123,2,0,195,9,Low,81,0,7,246,1,41,2,10,28,1,8,2,70,Low,94,1,Manager,0
55,55,Female,Bachelor,Tax,Consultant,49,4,0,72,0,High,16,0,13,241,4,37,3,6,80,0,7,3,11,Low,93,1,Senior Consultant,0
